Autor,Posts,Date,content
"
Artin","1,624 posts",10/30/2021 02:51  PM,"

Advertisement (gone after registration)



 

	If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 


	Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  


Edited October 30 by Artin

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
a.noctilux","6,023 posts",10/30/2021 02:55  PM,"


😂 after my dinner ...maybe.


Edited October 30 by a.noctilux

"
"
a.noctilux","6,023 posts",10/30/2021 02:57  PM,"



		5 minutes ago, Artin said:
	


			If or when say M11 is lunched   Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they Lunch another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	Launch ?


Edited October 30 by a.noctilux

"
"
Artin","1,624 posts",10/30/2021 02:59  PM,"


	whatever spell check screws up every once in a while 

"
"
a.noctilux","6,023 posts",10/30/2021 03:00  PM,"



		1 minute ago, Artin said:
	


			whatever spell check screws up every once in a while 
		



	Checked 'stir the POT'


Edited October 30 by a.noctilux

"
"
Artin","1,624 posts",10/30/2021 03:04  PM,"



		3 minutes ago, a.noctilux said:
	


			Checked 'stir the POT'
		



	LOL answer the question smart A##

"
"
Anbaric",888 posts,10/30/2021 03:46  PM,"

Advertisement (gone after registration)



 


		51 minutes ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	Why not just shove an adapter on the mirrorless camera of your choice, or wait for the SL3?

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
rramesh","1,936 posts",10/30/2021 04:04  PM,"


	Hypothetically answering. Wrong forum, wrong thread and wrong question! 


Edited October 30 by rramesh

"
"
jdlaing","9,328 posts",10/30/2021 04:22  PM,"


	If a camera has no rangefinder it can’t be an M.

"
"
grahamc",515 posts,10/30/2021 04:27  PM,"


	At that price I would rather sell all my Ms.   Peasants! 

"
"
LocalHero1953","8,858 posts",10/30/2021 04:41  PM,"



		18 minutes ago, jdlaing said:
	


			If a camera has no rangefinder it can’t be an M.
		



	Really? I never knew that!

"
